Scene_Name,Quaternion,Scale,Initial_Position
truck,"-0.0896, 0.0000, 0.0000, 0.9960",0.76,"0,2.1,-4"
treehill,"-0.1961, 0.0000, 0.0000, 0.9806",1,"2,1.4,2"
train,"0.0499, 0.0000, 0.0100, 0.9987",0.36,"2,-1,6"
stump,"-0.3950, 0.0000, 0.0000, 0.9187",1,"-1,2.65,-2.5"
room,"-0.2334, 0.0000, 0.0000, 0.9724",2,"0,1.15,0"
playroom,"-0.1961, 0.0000, 0.0000, 0.9806",2.7,"0,0.88,0"
drjohnson,"-0.3699, 0.0000, 0.5976, 0.7114",1,"0,1.5,0"
bicycle,"-0.1142, 0.0000, 0.0000, 0.9935",1.25,"1.5,1.1,0"
nyc,"-0.1483, 0.0000, 0.0000, 0.9888",0.64,"-1.6,4.4,4"
london,"0, 0, 0, 1",0.53,"18,12,-11"
berlin,"0.0299, 0.0000, -0.0599, 0.9978",0.8,"-1,1.8,-1.3"
alameda,"-0.1867, 0.0000, 0.0000, 0.9824",0.64,"3,2.6,-1"
